DeathZip,Year,Deaths
90037,2015,3
90037,2016,3
90037,2017,5
90037,2018,5
90037,2019,15
90037,2020,17
90037,2021,21
90037,2022,25
90037,2023,23
90038,2012,2
90038,2013,1
90038,2014,3
90038,2015,5
90038,2016,7
90038,2017,4
90038,2018,4
90038,2019,4
90038,2020,11
90038,2021,14
90038,2022,7
90038,2023,5
90039,2015,1
90039,2016,3
90039,2017,3
90039,2018,3
90039,2019,6
90039,2020,5
90039,2021,8
90039,2022,9
90039,2023,3
90040,2013,1
90040,2016,1
90040,2017,1
90040,2018,3
90040,2019,1
90040,2020,1
90040,2021,3
90040,2022,7
90040,2023,3
90041,2012,1
90041,2013,1
90041,2014,2
90041,2015,3
90041,2017,3
90041,2018,2
90041,2019,1
90041,2020,3
90041,2021,10
90041,2022,5
90041,2023,5
90042,2012,1
90042,2013,2
90042,2014,3
90042,2015,6
90042,2016,6
90042,2017,1
90042,2018,6
90042,2019,6
90042,2020,7
90042,2021,11
90042,2022,10
90042,2023,6
90043,2012,5
90043,2013,2
90043,2014,3
90043,2015,4
90043,2016,2
90043,2017,4
90043,2018,4
90043,2019,11
90043,2020,9
90043,2021,16
90043,2022,12
90043,2023,11
90044,2012,2
90044,2013,1
90044,2014,3
90044,2015,4
90044,2016,5
90044,2017,9
90044,2018,12
90044,2019,16
90044,2020,16
90044,2021,36
90044,2022,25
90044,2023,19
90045,2012,1
90045,2013,3
90045,2014,3
90045,2015,4
90045,2016,3
90045,2017,3
90045,2018,3
90045,2019,5
90045,2020,17
90045,2021,15
90045,2022,11
90045,2023,5
90046,2012,4
90046,2013,1
90046,2014,3
90046,2015,8
90046,2016,5
90046,2017,8
90046,2018,10
90046,2019,19
90046,2020,16
90046,2021,23
90046,2022,20
90046,2023,10
90047,2013,6
90047,2014,1
90047,2015,1
90047,2016,2
90047,2017,3
90047,2018,2
90047,2019,4
90047,2020,11
90047,2021,15
90047,2022,14
90047,2023,10
90048,2012,3
90048,2013,4
90048,2014,8
90048,2015,9
90048,2016,10
90048,2017,11
90048,2018,5
90048,2019,10
90048,2020,19
90048,2021,24
90048,2022,27
90048,2023,17
90049,2012,1
90049,2013,1
90049,2014,1
90049,2015,1
90049,2016,4
90049,2017,1
90049,2019,2
90049,2020,4
90049,2021,3
90049,2022,6
90049,2023,4
90050,2016,1
90053,2012,1
90055,2019,2
90055,2020,1
90056,2018,1
90056,2019,2
90056,2020,3
90056,2021,1
90056,2022,2
90056,2023,1
90057,2012,2
90057,2013,5
90057,2014,6
90057,2015,11
90057,2016,5
90057,2017,13
90057,2018,10
90057,2019,18
90057,2020,27
90057,2021,45
90057,2022,88
90057,2023,59
90058,2014,1
90058,2015,1
90058,2017,1
90058,2019,2
90058,2021,1
